run_id,frame,elapsed_seconds,simulation_time,round_number,paused,ai_enabled,ai_mode,ai_last_action,manual_override,root_tip_count,active_tip_count,root_segment_count,branch_count,attachment_count,detach_count,collision_count,wrap_count,mark_count,spill_count,transfer_count,absorption_events,total_absorbed,water_remaining,depleted_water_pockets,droplet_count,fragment_count,nearest_water_x,nearest_water_y,nearest_water_z,lead_tip_x,lead_tip_y,lead_tip_z,lead_tip_dir_x,lead_tip_dir_y,lead_tip_dir_z,lead_tip_radius,active_rock_wrap_scores,stagnation_seconds,completion_seconds
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,417,13.613,13.900,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,25,1,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.8543,0.6056,-0.2807,0.0000,5.6500,0.0000,0.0087,-0.9979,-0.0645,0.10500,0.00000,5.167,0.333
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,425,13.880,14.167,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,25,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,5.167,0.233
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,433,14.146,14.433,1,0,1,curious_branch,switch_to_curious_branch,0,26,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,5.167,0.033
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,441,14.413,14.700,1,0,1,curious_branch,switch_to_curious_branch,0,26,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,6.200,0.300
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,449,14.682,14.967,1,0,1,curious_branch,switch_to_curious_branch,0,26,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,6.200,0.567
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,457,14.951,15.233,1,0,1,curious_branch,switch_to_curious_branch,0,26,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,6.200,0.833
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,465,15.216,15.500,1,0,1,curious_branch,switch_to_curious_branch,0,27,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,7.233,0.133
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,473,15.480,15.767,1,0,1,curious_branch,switch_to_curious_branch,0,27,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,7.233,0.400
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,481,15.742,16.033,1,0,1,curious_branch,switch_to_curious_branch,0,27,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,7.233,0.667
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,489,16.009,16.300,1,0,1,curious_branch,switch_to_curious_branch,0,27,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,7.233,0.933
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,497,16.276,16.567,1,0,1,curious_branch,switch_to_curious_branch,0,27,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,8.233,1.200
