run_id,frame,elapsed_seconds,sim_time,round_number,ai_enabled,ai_mode,paused,director_x,director_y,director_z,active_channels,molecules_free_inside,molecules_free_outside,molecules_attached,vesicles_alive,first_vesicle_state,first_vesicle_x,first_vesicle_y,first_vesicle_z,first_molecule_kind,first_molecule_inside,first_molecule_state,first_molecule_x,first_molecule_y,first_molecule_z,first_molecule_vx,first_molecule_vy,first_molecule_vz,passes,bounces,collisions,buds,fusions,transfers,marks,spills,detaches,resets,nucleus_absorbed,golgi_absorbed,lysosome_absorbed,er_absorbed
20260526-040130-sentence-script-a-transparent-spherical-2682c1,541,8.723,11.902,1,1,artistic_mark,0,-1.5265,0.6129,-0.1028,4,37,19,2,1,fusing,2.3918,1.1544,0.0515,waste,1,free,3.0546,-2.4793,-1.4418,0.4903,-0.2049,-1.2868,1,57,52,4,3,7,320,0,0,1,2,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,553,8.9247,12.166,1,1,artistic_mark,0,-1.3197,0.5425,-0.6219,4,39,19,0,0,,,,,waste,1,free,3.1816,-2.5411,-1.7819,0.4775,-0.2358,-1.2658,1,59,52,4,4,9,359,0,0,1,2,4,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,565,9.1256,12.43,1,1,artistic_mark,0,-0.9636,0.3269,-1.0015,3,39,19,0,0,,,,,waste,1,free,3.3083,-2.605,-2.1178,0.48,-0.244,-1.2767,1,62,52,4,4,9,378,0,0,1,2,4,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,577,9.3271,12.694,1,1,artistic_mark,0,-0.5258,0.0516,-1.2327,3,37,19,2,1,budding,-1.167,-5.0392,0.9548,waste,1,free,3.4324,-2.6692,-2.4529,0.4771,-0.2556,-1.2675,1,65,52,5,4,9,384,0,0,1,2,4,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,589,9.5284,12.958,1,1,artistic_mark,0,-0.0484,-0.2212,-1.3705,3,37,19,2,1,budding,-1.1365,-4.9077,0.9299,waste,1,free,3.5567,-2.7357,-2.7947,0.4672,-0.2739,-1.3197,1,67,52,5,4,9,384,0,0,1,2,4,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,601,9.7325,13.222,1,1,artistic_mark,0,0.4829,-0.4079,-1.3814,3,37,19,2,1,budding,-1.1061,-4.7761,0.905,waste,1,free,3.6785,-2.8102,-3.1371,0.4566,-0.2949,-1.292,1,68,52,5,4,9,393,0,0,1,2,4,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,613,9.9339,13.486,1,1,artistic_mark,0,1.0144,-0.3954,-1.1998,3,37,19,2,1,budding,-1.0756,-4.6446,0.88,waste,1,free,3.7458,-2.8506,-3.4239,-1.0472,0.7944,0.1265,1,70,52,5,4,9,405,0,0,1,2,4,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,625,10.1346,13.75,1,1,artistic_mark,0,1.4533,-0.2236,-0.888,3,37,19,2,1,travel,-0.9808,-4.0195,0.7851,waste,1,free,3.4653,-2.6501,-3.3942,-1.0632,0.7675,0.1,1,71,52,5,4,9,408,0,0,1,2,4,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,637,10.336,14.014,1,1,artistic_mark,0,1.7575,0.0379,-0.4904,3,37,19,2,1,travel,-0.7085,-2.7816,0.5999,waste,1,free,3.1949,-2.4412,-3.3616,-1.0156,0.7723,0.1242,1,71,52,5,4,9,408,0,0,1,2,4,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,649,10.5378,14.278,1,1,artistic_mark,0,1.8656,0.326,-0.0181,3,37,19,2,1,travel,-0.3423,-1.7641,0.4424,waste,1,free,2.9302,-2.2348,-3.3263,-0.9918,0.7972,0.1528,1,73,52,5,4,9,414,0,0,1,2,4,0,3
