run_id,frame,elapsed_seconds,round,paused,ai_enabled,ai_mode,simulation_mode_note,unfold_progress,fork_distance,left_fork_x,left_fork_y,left_fork_z,right_fork_x,right_fork_y,right_fork_z,replication_speed,unfold_speed,target_replication_speed,target_unfold_speed,chaos_level,attached_enzyme_count,active_particle_count,attachment_count,detachment_count,collision_count,transfer_count,mark_count,spill_count,enzyme0_x,enzyme0_y,enzyme0_z,enzyme0_attached,enzyme1_x,enzyme1_y,enzyme1_z,enzyme1_attached,completion_hold,ai_stagnation_seconds,active_loop_count
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,835,14.198,1,0,1,artistic,artistic,1.00000,6.54444,-6.54444,0.00000,0.00000,6.54444,0.00000,0.00000,0.65966,0.11995,0.66000,0.12000,1.00000,10,43,10,0,91,45,1,96,-6.49436,-0.25452,-0.48598,1,6.50034,-0.53918,-0.01464,1,0.00000,0.00000,5
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,849,14.452,1,0,1,artistic,artistic,1.00000,6.69838,-6.69838,0.00000,0.00000,6.69838,0.00000,0.00000,0.65982,0.11997,0.66000,0.12000,1.00000,10,48,10,0,106,55,1,112,-6.82269,0.35718,-0.41865,1,6.62194,-0.14585,-0.51643,1,0.00000,0.00000,5
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,869,14.714,1,0,1,artistic,artistic,1.00000,6.91834,-6.91834,0.00000,0.00000,6.91834,0.00000,0.00000,0.65993,0.11999,0.66000,0.12000,1.00000,10,45,10,0,116,63,1,117,-6.91144,0.36997,0.40718,1,7.04825,0.50074,-0.12579,1,0.00000,0.00000,6
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,893,14.969,1,0,1,artistic,artistic,1.00000,7.18233,-7.18233,0.00000,0.00000,7.18233,0.00000,0.00000,0.65998,0.12000,0.66000,0.12000,1.00000,10,41,10,0,127,80,2,133,-7.06079,-0.49368,0.15051,1,7.21317,-0.16983,0.58343,1,0.00000,0.00000,6
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,911,15.224,1,0,1,artistic,artistic,1.00000,7.38032,-7.38032,0.00000,0.00000,7.38032,0.00000,0.00000,0.65999,0.12000,0.66000,0.12000,1.00000,10,30,10,0,127,91,2,133,-7.43884,-0.14351,-0.42761,1,7.26082,-0.53619,-0.04447,1,0.00000,0.00000,6
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,925,15.486,1,0,1,artistic,artistic,1.00000,7.53432,-7.53432,0.00000,0.00000,7.53432,0.00000,0.00000,0.65999,0.12000,0.66000,0.12000,1.00000,10,37,10,0,128,97,3,149,-7.63975,0.42402,-0.27517,1,7.54724,-0.02756,-0.55757,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,939,15.744,1,0,1,artistic,artistic,1.00000,7.68832,-7.68832,0.00000,0.00000,7.68832,0.00000,0.00000,0.66000,0.12000,0.66000,0.12000,1.00000,10,25,10,0,141,106,3,149,-7.60463,0.42561,0.26523,1,7.80898,0.46219,-0.30278,1,0.00000,0.00000,6
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,953,16.015,1,0,1,artistic,artistic,1.00000,7.84232,-7.84232,0.00000,0.00000,7.84232,0.00000,0.00000,0.66000,0.12000,0.66000,0.12000,1.00000,10,24,10,0,148,112,3,154,-7.80522,-0.21531,0.47112,1,7.78453,0.28473,0.37823,1,0.00000,0.00000,6
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,966,16.267,1,0,1,artistic,artistic,1.00000,7.98532,-7.98532,0.00000,0.00000,7.98532,0.00000,0.00000,0.66000,0.12000,0.66000,0.12000,1.00000,10,36,10,0,162,115,3,170,-8.10774,-0.56567,0.06112,1,7.91717,-0.18956,0.53400,1,0.00000,0.00000,6
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,980,16.522,1,0,1,artistic,artistic,1.00000,8.13932,-8.13932,0.00000,0.00000,8.13932,0.00000,0.00000,0.66000,0.12000,0.66000,0.12000,1.00000,10,39,10,0,181,117,3,175,-8.14113,-0.11473,-0.46894,1,8.25196,-0.39558,-0.03057,1,0.00000,0.00000,5
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,994,16.788,1,0,1,artistic,artistic,1.00000,8.29332,-8.29332,0.00000,0.00000,8.29332,0.00000,0.00000,0.66000,0.12000,0.66000,0.12000,1.00000,10,51,10,0,183,120,3,191,-8.19067,0.49911,-0.34170,1,8.32923,-0.09898,-0.54565,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,1007,17.051,1,0,1,artistic,artistic,1.00000,8.43632,-8.43632,0.00000,0.00000,8.43632,0.00000,0.00000,0.66000,0.12000,0.66000,0.12000,1.00000,10,50,10,0,190,126,3,196,-8.50413,0.37810,0.25437,1,8.33077,0.28285,-0.30757,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,1020,17.306,1,0,1,artistic,artistic,1.00000,8.57932,-8.57932,0.00000,0.00000,8.57932,0.00000,0.00000,0.66000,0.12000,0.66000,0.12000,1.00000,10,55,10,0,210,128,3,206,-8.66695,-0.21369,0.54105,1,8.61519,0.37148,0.31286,1,0.00000,0.00000,6
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,1036,17.570,1,0,1,artistic,artistic,1.00000,8.75532,-8.75532,0.00000,0.00000,8.75532,0.00000,0.00000,0.66000,0.12000,0.66000,0.12000,1.00000,10,57,10,0,221,134,4,217,-8.64724,-0.44877,-0.02085,1,8.86536,-0.07908,0.46816,1,0.00000,0.00000,6
