run_id,frame,elapsed_seconds,sim_time,phase_progress,stage,ai_enabled,ai_mode,paused,loop_count,reset_count,last_reset_reason,selected_chromosome,selected_x,selected_y,selected_z,selected_vx,selected_vy,selected_vz,left_pole_x,left_pole_y,left_pole_z,right_pole_x,right_pole_y,right_pole_z,left_daughter_membrane_x,right_daughter_membrane_x,cleavage_band_radius,alignment_error,average_chromatid_separation,attached_spindle_ends,particle_bounce_count,mark_count,stagnation_seconds,completion_timer,membrane_opacity,nucleus_opacity
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,282,4.4271,4.4280,0.11808,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.70822,0.03090,0.11745,-0.07233,-0.08167,0.03447,-0.56335,0.00000,0.00000,0.56335,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75271,0.11593,0,0,3,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,288,4.5281,4.5291,0.12078,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.71509,0.02261,0.12137,-0.06477,-0.08212,0.04191,-0.60557,0.00000,0.00000,0.60557,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75130,0.11775,0,0,3,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,294,4.6294,4.6304,0.12348,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.71643,0.01507,0.10085,-0.06544,-0.08355,0.09579,-0.65004,0.00000,0.00000,0.65004,0.00000,0.00000,-0.00000,0.00000,3.00000,0.74882,0.11979,0,0,4,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,300,4.7308,4.7318,0.12618,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.72247,0.00664,0.11048,-0.05535,-0.08279,0.09460,-0.69660,0.00000,0.00000,0.69660,0.00000,0.00000,-0.00000,0.00000,3.00000,0.74684,0.12204,0,0,4,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,306,4.8447,4.8456,0.12922,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.72803,-0.00270,0.12123,-0.04413,-0.08148,0.09447,-0.75117,0.00000,0.00000,0.75117,0.00000,0.00000,-0.00000,0.00000,3.00000,0.74421,0.12480,0,0,4,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,312,4.9647,4.9656,0.13242,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.73245,-0.01234,0.13259,-0.03177,-0.07950,0.09496,-0.81120,0.00000,0.00000,0.81120,0.00000,0.00000,-0.00000,0.00000,3.00000,0.74102,0.12798,0,0,4,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,318,5.0893,5.0902,0.13574,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.73547,-0.02206,0.14450,-0.01896,-0.07686,0.09609,-0.87609,0.00000,0.00000,0.87609,0.00000,0.00000,-0.00000,0.00000,3.00000,0.73728,0.13155,0,0,4,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,324,5.2057,5.2067,0.13884,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.73685,-0.03081,0.15577,-0.00695,-0.07386,0.09739,-0.93890,0.00000,0.00000,0.93890,0.00000,0.00000,-0.00000,0.00000,3.00000,0.73532,0.13512,0,0,4,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,330,5.3200,5.3210,0.14189,Prophase: chromosomes condense,1,constructive,0,0,0,initial,0,-0.73685,-0.03902,0.16699,0.00473,-0.07044,0.09868,-1.00251,0.00000,0.00000,1.00251,0.00000,0.00000,-0.00000,0.00000,3.00000,0.73401,0.13883,0,0,4,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,336,5.4400,5.4410,0.14509,Prophase: chromosomes condense,1,constructive,0,0,0,initial,0,-0.73543,-0.04719,0.17892,0.01697,-0.06630,0.09985,-1.07114,0.00000,0.00000,1.07114,0.00000,0.00000,-0.00000,0.00000,3.00000,0.73254,0.14293,0,0,4,0.00000,0.00000,0.17000,0.20000
