run_id,sim_time,round_number,row_type,entity_id,entity_state,x,y,z,vx,vy,vz,radius,opacity,color_r,color_g,color_b,selected,ai_enabled,ai_mode,human_override_active,paused,event_count,free_viruses,bound_viruses,injecting_viruses,endocytosed_viruses,released_viruses,open_receptors,occupied_receptors,used_receptors,marked_receptors,particles_count,loose_genomes_count,active_genomes_count,target_receptor_id,bound_receptor_id,bound_time,genome_length,genome_active,receptor_use_count,receptor_marked,extra
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,16,open,0.0,4.048,0.0,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(0.0000,1.0000,0.0000)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,17,open,3.8398856336164573,-0.9638095238095241,-0.8441880848247022,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(0.9486,-0.2381,-0.2085)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,18,open,0.0,-4.048,0.0,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(0.0000,-1.0000,0.0000)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,19,open,1.7237132869341083,2.8914285714285715,2.248278746235293,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(0.4258,0.7143,0.5554)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,20,open,-2.194976290333406,-1.3493333333333333,3.1221279026378403,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(-0.5422,-0.3333,0.7713)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,21,open,1.2101267197183658,-0.19276190476190497,3.858074671425662,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(0.2989,-0.0476,0.9531)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.1200,1,summary,simulation,running,0.0,0.0,0.0,,,,,,,,,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,csv_output=20260526-185455-sentence-script-virus-particles-with-spi-772194-virus-entry-state-log.csv
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.1200,1,host_cell,host_cell,membrane,0.0,0.0,0.0,,,,4.0,0.2026947542602502,0.45,0.72,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.1200,1,nucleus,nucleus,stationary,0.0,0.0,0.0,,,,1.0583195919249497,0.3062147213386882,0.67,0.58,0.95,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.1200,1,virus,0,free,-7.210062693826178,6.555534486529696,5.54368847408028,0.5447007665585208,-0.32719412624949973,-0.3984811857386148,0.34,0.92,1.0,0.42,0.42,1,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,12,,0.0000,,,,,orbiting=0;injection_started=0;endocytosis_started=0;release_started=0
